customer_id,name,city,signup_date,age
1,Khaled Mahmoud,Alexandria,2023-08-08,45.0
2,Ahmed Abdallah,Port Said,2023-06-12,50.0
3,Mona Said,Tanta,2023-08-08,54.0
4,Sara Mahmoud,Damietta,2023-09-27,26.0
5,Khaled Adel,Cairo,2024-09-23,35.0
6,Mohamed Fawzy,Cairo,2025-04-27,38.0
7,Nour Hassan,Cairo,2024-02-04,19.0
8,Ahmed Mahmoud,Luxor,2023-07-01,60.0
9,Mona Said,Mansoura,2024-09-09,55.0
10,Omar Fawzy,Tanta,2024-12-29,57.0
11,Ahmed Adel,Cairo,2023-07-24,53.0
12,Mona Adel,Port Said,2024-08-04,60.0
13,Nour Said,Luxor,2024-07-09,54.0
14,Fatma Fawzy,Cairo,2025-04-20,32.0
15,Ali Hassan,Cairo,2025-03-23,45.0
16,Amr Ibrahim,Cairo,2023-08-16,35.0
17,Hana Kamal,Alexandria,2024-11-26,51.0
18,Youssef Abdallah,Damietta,2024-09-10,
19,Sara Said,Giza,2024-08-18,28.0
20,Amr Fathy,Alexandria,2025-04-29,30.0
21,Mohamed Mahmoud,Mansoura,2023-09-07,21.0
22,Nour Mahmoud,Cairo,2025-05-24,39.0
23,Youssef Fathy,Alexandria,2024-03-16,
24,Laila Abdallah,Alexandria,2024-06-16,60.0
25,Amr Hassan,Giza,2023-07-15,41.0
26,Hana Ramzy,Aswan,2024-11-20,21.0
27,Omar Mahmoud,Cairo,2024-06-02,45.0
28,Nour Mahmoud,Giza,2023-03-11,32.0
29,Omar Abdallah,Damietta,2024-09-30,18.0
30,Salma Fawzy,Cairo,2024-02-03,20.0
31,Salma Fathy,Mansoura,2024-11-02,31.0
32,Laila Said,Cairo,2025-01-29,55.0
33,Hana Mahmoud,Cairo,2023-07-22,18.0
34,Ahmed Said,Port Said,2023-05-28,
35,Amr Abdallah,Port Said,2024-04-16,55.0
36,Mohamed Said,Aswan,2024-10-16,38.0
37,Salma Mahmoud,Alexandria,2023-07-18,46.0
38,Nour Abdallah,Cairo,2024-03-01,22.0
39,Fatma Fathy,Tanta,2024-10-27,27.0
40,Sara Fathy,Giza,2024-05-06,45.0
41,Youssef Said,Cairo,2025-06-06,38.0
42,Khaled Abdallah,Giza,2025-06-14,24.0
43,Hana Mahmoud,Cairo,2023-05-22,20.0
44,Laila Ibrahim,Suez,2023-11-09,62.0
45,Omar Said,Alexandria,2023-06-14,64.0
46,Sara Ramzy,Mansoura,2023-11-10,37.0
47,Nour Abdallah,Alexandria,2023-01-21,36.0
48,Khaled Adel,Damietta,2023-03-23,52.0
49,Mona Fathy,Damietta,2024-08-03,21.0
50,Salma Hassan,Cairo,2023-05-11,
51,Mona Hassan,Port Said,2024-08-21,18.0
52,Amr Fathy,Aswan,2024-12-30,21.0
53,Nour Abdallah,Suez,2023-11-01,29.0
54,Mohamed Said,Suez,2024-01-06,44.0
55,Laila Fathy,Damietta,2025-05-06,59.0
56,Mona Ramzy,Suez,2025-05-02,40.0
57,Nour Ramzy,Cairo,2024-01-19,42.0
58,Sara Abdallah,Cairo,2024-03-20,38.0
59,Sara Said,Cairo,2024-02-29,41.0
60,Hana Adel,Alexandria,2023-06-10,
61,Omar Abdallah,Alexandria,2023-06-27,62.0
62,Hana Fawzy,Alexandria,2024-09-20,63.0
63,Nour Fawzy,Luxor,2024-12-08,49.0
64,Nour Fathy,Alexandria,2025-06-13,49.0
65,Mona Ibrahim,Alexandria,2024-05-04,22.0
66,Omar Ramzy,Damietta,2023-11-23,53.0
67,Mohamed Hassan,Cairo,2024-08-20,63.0
68,Salma Mahmoud,Aswan,2023-10-16,59.0
69,Sara Ibrahim,Cairo,2024-08-15,59.0
70,Amr Kamal,Port Said,2024-10-25,56.0
71,Laila Mahmoud,Aswan,2024-07-26,33.0
72,Nour Kamal,Cairo,2024-07-26,50.0
73,Laila Ramzy,Cairo,2023-12-20,38.0
74,Omar Abdallah,Aswan,2023-01-28,26.0
75,Omar Hassan,Tanta,2023-02-12,23.0
76,Khaled Mahmoud,Tanta,2024-11-11,62.0
77,Khaled Adel,Aswan,2024-02-27,52.0
78,Amr Abdallah,Cairo,2024-08-20,56.0
79,Amr Fathy,Alexandria,2023-06-26,39.0
80,Mohamed Abdallah,Cairo,2024-06-12,58.0
81,Nour Ibrahim,Luxor,2024-09-01,22.0
82,Fatma Hassan,Mansoura,2024-05-08,59.0
83,Hana Abdallah,Alexandria,2023-07-17,40.0
84,Omar Ibrahim,Cairo,2024-09-01,34.0
85,Omar Mahmoud,Alexandria,2024-07-30,29.0
86,Salma Abdallah,Alexandria,2025-04-21,40.0
87,Salma Adel,Tanta,2025-05-02,33.0
88,Laila Said,Mansoura,2024-05-31,20.0
89,Sara Fathy,Suez,2024-05-28,47.0
90,Amr Ibrahim,Giza,2023-01-22,39.0
91,Omar Adel,Cairo,2023-04-22,26.0
92,Ahmed Fawzy,Tanta,2023-02-26,46.0
93,Youssef Ramzy,Aswan,2023-03-07,64.0
94,Ahmed Mahmoud,Damietta,2025-04-21,54.0
95,Youssef Abdallah,Aswan,2023-04-08,40.0
96,Mona Hassan,Giza,2023-05-24,30.0
97,Mona Fawzy,Damietta,2025-05-29,49.0
98,Mohamed Mahmoud,Giza,2024-03-10,63.0
99,Hana Ramzy,Cairo,2024-09-28,64.0
100,Salma Mahmoud,Cairo,2024-11-09,40.0
101,Amr Adel,Cairo,2023-03-27,62.0
102,Amr Ibrahim,Mansoura,2024-08-10,34.0
103,Sara Ramzy,Alexandria,2023-12-10,57.0
104,Omar Ibrahim,Giza,2023-10-21,
105,Ali Adel,Suez,2024-07-24,19.0
106,Salma Fawzy,Cairo,2024-10-11,54.0
107,Nour Said,Giza,2024-09-02,23.0
108,Omar Said,Tanta,2024-12-04,61.0
109,Hana Abdallah,Cairo,2023-08-31,35.0
110,Nour Fathy,Cairo,2025-04-10,47.0
111,Fatma Adel,Alexandria,2024-07-14,39.0
112,Fatma Mahmoud,Cairo,2023-02-01,50.0
113,Mona Said,Suez,2024-01-26,47.0
114,Mohamed Fathy,Aswan,2023-10-04,34.0
115,Ahmed Fawzy,Mansoura,2024-06-15,60.0
116,Omar Said,Luxor,2023-06-03,49.0
117,Laila Said,Aswan,2024-01-18,59.0
