customer_id,name,age,email,signup_date,order_amount,country,order_start,order_end
1,Sara Hassan,56.0,sara.hassan1@example.com,2023-10-09,417.46,UAE,2023-10-16,2023-10-19
2,Sara Ali,25.0,sara.ali2@example.com,2024-08-27,577.31,Jordan,2024-08-28,2024-08-29
3,Sara Fathy,38.0,sara.fathy3@example.com,2023-08-27,464.88,Qatar,2023-09-15,2023-09-16
4,Tarek Fathy,28.0,tarek.fathy4@example.com,2024-10-27,464.88,Qatar,2024-11-09,2024-11-13
5,Yara Sami,28.0,yara.sami5@example.com,2023-01-07,541.86,UAE,2023-01-29,2023-02-05
6,Mona Sami,41.0,mona.sami6@example.com,2023-06-09,651.58,UAE,2023-07-09,2023-07-15
7,Sara Ali,20.0,sara.ali7@example.com,2024-01-25,429.58,Egypt,2024-02-05,2024-02-11
8,Dina Sami,38.0,dina.sami8@example.com,2023-02-14,581.38,Jordan,2023-03-03,2023-03-05
9,Khaled Ali,50.0,khaled.ali9@example.com,2024-07-19,536.29,Saudi Arabia,2024-08-14,2024-08-24
10,Mona Fathy,61.0,mona.fathy10@example.com,2023-03-13,213.01,Egypt,2023-04-03,2023-04-07
11,Omar Ali,42.0,omar.ali11@example.com,2023-08-27,622.47,Egypt,2023-09-08,2023-09-13
12,Yara Adel,59.0,yara.adel12@example.com,2023-06-16,271.42,Saudi Arabia,2023-06-27,2023-07-01
13,Omar Ali,45.0,omar.ali13@example.com,2024-09-15,533.31,UAE,2024-10-02,2024-10-06
14,Mohamed Kamal,61.0,mohamed.kamal14@example.com,2024-01-24,384.8,Saudi Arabia,2024-02-22,2024-03-02
15,Nour Adel,69.0,nour.adel15@example.com,2023-02-27,418.34,UAE,2023-03-25,2023-03-26
16,Mona Nasser,68.0,mona.nasser16@example.com,2023-10-02,516.64,Egypt,2023-10-08,2023-10-18
17,Mona Fathy,24.0,mona.fathy17@example.com,2024-11-02,409.96,Jordan,2024-11-14,2024-11-22
18,Mohamed Sami,19.0,mohamed.sami18@example.com,2023-05-23,642.12,UAE,2023-06-15,2023-06-24
19,Tarek Sami,37.0,,2024-08-21,616.88,Jordan,2024-09-18,2024-09-28
20,Khaled Adel,61.0,khaled.adel20@example.com,2023-08-13,334.84,UAE,2023-08-29,2023-09-06
21,Sara Hassan,-5,sara.hassan21@example.com,2023-04-23,623.38,UAE,2023-05-13,2023-05-16
22,Khaled Ali,19.0,khaled.ali22@example.com,2024-01-30,316.87,Jordan,2024-02-18,2024-02-26
23,Tarek Sami,23.0,tarek.sami23@example.com,2024-07-20,548.45,Egypt,2024-08-10,2024-08-12
24,Tarek Sami,46.0,tarek.sami24@example.com,2024-10-18,290.99,Saudi Arabia,2024-10-21,2024-10-26
25,Khaled Ibrahim,35.0,khaled.ibrahim25@example.com,2024-04-09,532.8,Egypt,2024-05-09,2024-05-14
26,Tarek Ibrahim,65.0,tarek.ibrahim26@example.com,2024-06-03,632.26,Egypt,2024-06-30,2024-07-05
27,Tarek Fathy,32.0,tarek.fathy27@example.com,2023-06-06,482.65,Saudi Arabia,2023-06-30,2023-07-03
28,Tarek Hassan,33.0,tarek.hassan28@example.com,2024-09-05,454.83,Saudi Arabia,2024-09-20,2024-09-21
29,Sara Adel,62.0,sara.adel29@example.com,2023-11-11,616.06,UAE,2023-11-12,2023-11-16
30,Dina Ali,43.0,dina.ali30@example.com,2023-03-29,419.28,Jordan,2023-04-24,2023-04-26
31,Tarek Ibrahim,42.0,tarek.ibrahim31@example.com,2023-05-12,551.54,Jordan,2023-06-11,2023-06-20
32,Mohamed Sami,58.0,mohamed.sami32@example.com,2024-06-24,235.54,Qatar,2024-07-07,2024-07-11
33,Tarek Fathy,46.0,tarek.fathy33@example.com,2023-11-16,587.32,Jordan,2023-12-07,2023-12-13
34,Yara Kamal,52.0,abc.com,2023-05-04,633.16,UAE,2023-05-11,2023-05-13
35,Mona Hassan,52.0,mona.hassan35@example.com,2024-08-25,374.12,Qatar,2024-09-01,2024-09-11
36,Nour Hassan,24.0,nour.hassan36@example.com,2023-03-14,453.62,Egypt,2023-03-21,2023-03-23
37,Ahmed Adel,26.0,ahmed.adel37@example.com,2023-03-14,273.78,Qatar,2023-03-21,2023-03-26
38,Yara Fathy,65.0,yara.fathy38@example.com,2024-07-06,664.95,UAE,2024-07-29,2024-08-08
39,Dina Kamal,40.0,dina.kamal39@example.com,2023-09-06,681.83,Jordan,2023-10-01,2023-10-08
40,Nour Ali,61.0,nour.ali40@example.com,2023-04-10,-200.0,Jordan,2023-04-21,2023-04-28
41,Khaled Kamal,57.0,khaled.kamal41@example.com,2023-02-25,568.68,Egypt,2023-02-26,2023-03-05
42,Mona Ali,52.0,mona.ali42@example.com,2023-09-12,247.36,UAE,2023-09-18,2023-09-27
43,Yara Ibrahim,54.0,yara.ibrahim43@example.com,2024-03-08,359.94,UAE,2024-03-16,2024-03-24
44,Nour Ali,31.0,nour.ali44@example.com,2024-03-29,617.63,Qatar,2024-04-01,2024-04-02
45,Tarek Hassan,56.0,tarek.hassan45@example.com,2023-04-06,477.42,UAE,2023-04-11,2023-04-18
46,Yara Kamal,68.0,yara.kamal46@example.com,2023-08-07,355.17,Jordan,2023-09-04,2023-09-05
47,Mohamed Nasser,49.0,mohamed.nasser47@example.com,2023-01-03,287.19,Jordan,2023-01-11,2023-01-19
48,Omar Nasser,49.0,omar.nasser48@example.com,2024-07-23,656.37,Jordan,2024-07-27,2024-07-31
49,Omar Fathy,21.0,omar.fathy49@example.com,2023-03-01,467.05,Qatar,2023-03-24,2023-04-02
50,Ahmed Adel,62.0,ahmed.adel50@example.com,2023-02-28,553.57,Egypt,2023-03-18,2023-03-26
51,Tarek Ibrahim,32.0,tarek.ibrahim51@example.com,2023-02-28,381.61,Qatar,2023-03-02,2023-03-05
52,Sara Ali,49.0,sara.ali52@example.com,2024-11-22,611.56,UAE,2024-12-04,2024-12-06
53,Dina Fathy,24.0,dina.fathy53@example.com,2024-08-15,378.73,Qatar,2024-08-16,2024-08-26
54,Sara Nasser,19.0,sara.nasser54@example.com,2024-11-04,424.74,Qatar,2024-11-22,2024-12-01
55,Mona Sami,59.0,mona.sami55@example.com,2023-07-29,575.22,Saudi Arabia,2023-08-05,2023-08-10
56,Khaled Ibrahim,23.0,khaled.ibrahim56@example.com,2024-11-18,673.73,Saudi Arabia,2024-12-02,2024-12-08
57,Sara Hassan,45.0,sara.hassan57@example.com,2024-04-14,420.54,Qatar,2024-05-02,2024-05-04
